Dots,Paypal,Bank,Account,Click,Fill,URL,Javascript,Phishing
2,0,0,0,0,0,0,0,True
3,0,0,0,0,0,0,0,True
3,0,0,0,0,0,0,0,True
1,0,0,6,0,1,14,0,True
1,0,0,4,0,0,5,0,True
1,0,0,4,0,0,5,0,True
1,0,0,4,0,0,5,0,True
3,0,0,4,0,0,5,0,True
3,0,0,4,0,0,5,0,True
3,0,0,4,0,0,5,0,True
3,0,0,4,0,0,5,0,True
3,0,0,4,0,0,5,0,True
3,0,0,4,0,0,5,0,True
3,0,0,4,0,0,5,0,True
3,0,0,4,0,0,5,0,True
1,0,0,4,0,0,5,0,True
1,0,0,4,0,0,5,0,True
1,0,0,4,0,0,5,0,True
1,0,0,4,0,0,5,0,True
3,0,0,4,0,0,5,0,True
3,0,0,4,0,0,5,0,True
1,0,0,0,1,0,2,0,True
3,0,0,0,1,0,2,0,True
3,0,0,0,1,0,2,0,True
3,0,0,0,1,0,2,0,True
3,0,0,0,1,0,2,0,True
3,0,0,0,1,0,2,0,True
3,0,0,0,1,0,2,0,True
1,0,0,4,0,0,4,0,True
3,0,0,4,0,0,4,0,True
3,0,0,4,0,0,4,0,True
3,0,0,4,0,0,4,0,True
3,0,0,4,0,0,4,0,True
1,0,0,5,5,0,9,0,True
1,0,0,5,0,0,5,0,True
1,0,0,0,0,0,13,0,True
1,0,0,0,0,0,13,0,True
3,0,0,0,0,0,13,0,True
3,0,0,0,0,0,13,0,True
3,0,0,0,0,0,13,0,True
3,0,0,0,0,0,13,0,True
3,0,0,0,0,0,13,0,True
3,0,0,0,0,0,13,0,True
3,0,0,0,0,0,13,0,True
1,0,0,2,1,0,19,0,True
1,0,0,2,1,0,19,0,True
1,0,0,2,1,0,19,0,True
1,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
3,0,0,2,1,0,19,0,True
